price,brand,model,year,mileage,engine_size,city,fuel_type,transmission,condition,owners,scraped_at
7500,BMW,760,2020,300000,6.0,Gəncə,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
15800,Mitsubishi,Pajero,2002,398563,3.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
40800,Toyota,Land Cruiser,2008,165000,4.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
27900,Mercedes,Sprinter 315,2020,211989,2.2,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
35900,Changan,Uni-Z,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
72250,Changan,Deepal S09,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
43500,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
38000,Kia,Sorento,2018,181200,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
63750,Land,Rover Range Rover,2016,115873,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
40000,Jeep,Grand Cherokee,2014,160000,3.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
6800,Mercedes,E 320,2020,325000,3.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
12400,Toyota,Prius,2008,171400,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
36000,Changan,Uni-Z,2025,3500,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
30000,Land,Rover RR Sport,2011,249355,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
10500,LADA,(VAZ) Niva,2014,131500,1.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
12800,Toyota,Prius,2008,244800,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
102000,Land,Rover Range Rover,2018,190417,3.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:30
37000,Tofas,Sahin,2004,4786,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
111350,Li,Auto L7,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
29400,Chevrolet,Tracker,2025,0,1.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
26500,Changan,Eado,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
14000,Kia,Rio,2011,244444,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
72760,Hyundai,Grandeur,2023,22960,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
34900,Kia,Sorento,2015,243427,2.0,Şəki,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
72500,Li,Auto L6,2020,7200,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
12800,Toyota,Prius,2007,395646,1.5,Sumqayıt,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
12900,Mercedes,C 220,2020,365255,2.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
45500,Toyota,Land Cruiser,2010,192000,4.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
18900,Chevrolet,Malibu,2018,167000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
7500,LADA,(VAZ) Niva,2012,218484,1.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
316200,Mercedes-Maybach,GLS 600 4MATIC,2021,22000,4.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
3200,Audi,A6,2020,289000,2.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
25800,Hyundai,Elantra,2019,149682,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
20500,Chevrolet,Malibu,2020,101389,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
17900,Kia,Soul,2015,151278,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
4800,Opel,Vectra,1998,200000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
11900,Ravon,Nexia R3,2020,376600,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
21500,Mercedes,E 350,2020,336000,3.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
11000,Ford,Tourneo Connect,2006,250125,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
1500,Tufan,M50,2020,700,0.1,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
13000,Kia,Ceed SW,2007,250680,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
12800,Chevrolet,Cruze,2014,300000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
1900,LADA,(VAZ) 2101,2020,32359,1.3,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
5200,Mercedes,190,2020,223459,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
40000,Land,Rover Discovery Sport,2016,80000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
6800,Mercedes,C 180,2020,350000,1.8,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
7500,Opel,Astra,2001,330000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
18000,Mercedes,410 D,1995,155889,2.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
7900,BMW,540,2020,440000,4.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
17500,Chevrolet,Trax,2017,115000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
63000,Mercedes,Sprinter 316,2020,132000,2.2,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
8500,LADA,(VAZ) 2107,2020,140000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
45560,BMW,M5,2020,174000,4.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:33
52500,Changan,Deepal S07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
47500,Changan,Qiyuan Q07,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
110500,Voyah,Dream,2025,20250,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
122000,Li,Auto L9,2020,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
35500,BMW,330,2020,107000,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
34900,Changan,Uni-Z,2025,0,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
18700,Toyota,Corolla,2011,187000,1.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
10500,Chevrolet,Aveo,2012,220000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
43500,Kia,Sorento,2019,132455,2.0,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
73950,Li,Auto L7,2020,28441,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
22900,Volkswagen,Jetta,2018,163000,1.4,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
19900,Lexus,GX 470,2020,238000,4.7,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
5300,CFMOTO,300 NK,2022,18000,0.3,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
16500,Nissan,Juke,2012,148000,1.5,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
20900,Volkswagen,Touareg,2011,362000,3.6,Bakı,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
20500,Kia,Optima,2011,195000,2.0,Lənkəran,benzin,avtomat,yaxsi,1,2026-02-03 23:24:36
